subject,    session,    type,   run,    ev
eddy,       20181010,   anat,   00,     0
eddy,       20181010,   dwi,    00,     0
eddy,       20181010,   fmap,   00,     0
eddy,       20181010,   func,   01,     1
eddy,       20181010,   func,   02,     1
eddy,       20181010,   func,   03,     1
eddy,       20181010,   func,   04,     0
eddy,       20181010,   func,   05,     0
eddy,       20181010,   func,   06,     1
eddy,       20181010,   func,   07,     1
