subject,session,run
danny,20181212,04
danny,20181212,05
danny,20181212,06
danny,20181213,05
danny,20181213,06
danny,20181213,08
danny,20190122,04
danny,20190122,05
danny,20190122,06
danny,20190124,07
danny,20190124,08
danny,20190124,09
