Run   2:,Pupil H1 ,Pupil V1 ,Pupil D1 ,P-CR H1  ,P-CR V1  ,Dig Inp 1A
146187,  242.60,  172.00,  151.00,   10.50,    7.40,   14.00
146188,  242.60,  172.00,  149.00,   10.60,    7.40,   14.00
146189,  242.60,  171.90,  149.00,   10.50,    7.30,   14.00
146190,  242.50,  171.90,  150.00,   10.50,    7.30,   14.00
146191,  242.60,  171.90,  150.00,   10.50,    7.30,   14.00
146192,  242.50,  171.90,  148.00,   10.50,    7.30,   14.00
146193,  242.80,  172.00,  149.00,   10.60,    7.40,   14.00
146194,  242.60,  172.00,  148.00,   10.60,    7.50,   14.00
146195,  242.70,  172.00,  148.00,   10.50,    7.40,   14.00
146196,  242.60,  172.00,  149.00,   10.50,    7.40,   14.00
146197,  242.60,  172.00,  149.00,   10.40,    7.40,   14.00
146198,  242.90,  172.00,  149.00,   10.80,    7.30,   14.00
146199,  242.80,  172.00,  149.00,   10.60,    7.30,   14.00
146200,  242.70,  172.00,  149.00,   10.80,    7.30,   14.00
146201,  242.80,  172.00,  149.00,   10.60,    7.30,   14.00
146202,  242.70,  172.10,  150.00,   10.60,    7.50,   14.00
146203,  242.80,  172.20,  150.00,   10.60,    7.60,   14.00
146204,  242.90,  172.10,  152.00,   10.80,    7.50,   14.00
146205,  242.90,  171.90,  150.00,   10.70,    7.50,   14.00
146206,  244.50,  167.20,  152.00,   12.00,    5.60,   14.00
146207,  245.60,  161.30,  152.00,   12.60,    3.60,   14.00
146208,  246.00,  159.20,  153.00,   12.50,    2.10,   14.00
146209,  246.80,  158.50,  152.00,   12.80,    2.00,   14.00
146210,  246.80,  157.80,  155.00,   12.50,    1.40,   14.00
146211,  247.00,  157.60,  154.00,   12.40,    1.10,   14.00
146212,  247.50,  157.50,  154.00,   13.00,    1.00,   14.00
146213,  247.60,  157.50,  154.00,   13.00,    1.00,   14.00
146214,  247.60,  157.30,  156.00,   12.70,    0.80,   14.00
146215,  247.60,  157.10,  156.00,   12.90,    0.60,   14.00
146216,  247.80,  157.00,  157.00,   12.60,    0.50,   14.00
146217,  247.60,  157.00,  156.00,   12.70,    0.40,   14.00
146218,  248.00,  156.90,  157.00,   12.70,    0.30,   14.00
146219,  247.90,  156.80,  157.00,   12.80,    0.30,   14.00
146220,  248.00,  156.80,  156.00,   12.70,    0.30,   14.00
146221,  248.10,  156.90,  157.00,   12.60,    0.40,   14.00
146222,  248.10,  156.80,  158.00,   12.70,    0.30,   14.00
146223,  248.30,  156.70,  158.00,   12.80,    0.20,   14.00
146224,  248.10,  156.80,  158.00,   12.80,    0.30,   14.00
146225,  248.30,  156.80,  158.00,   12.80,    0.30,   14.00
146226,  248.50,  156.70,  159.00,   13.20,    0.20,   14.00
146227,  248.50,  156.70,  159.00,   12.90,    0.20,   14.00
146228,  248.40,  156.70,  159.00,   12.80,    0.20,   14.00
146229,  248.30,  156.70,  159.00,   12.80,    0.10,   14.00
146230,  248.50,  156.70,  159.00,   12.80,    0.10,   14.00
146231,  248.50,  156.80,  158.00,   13.00,    0.30,   14.00
146232,  248.50,  156.70,  159.00,   13.00,    0.20,   14.00
146233,  248.50,  156.60,  159.00,   13.00,    0.10,   14.00
146234,  248.60,  156.60,  159.00,   13.10,    0.10,   14.00
146235,  248.50,  156.60,  160.00,   12.90,    0.10,   14.00
146236,  248.50,  156.60,  160.00,   12.90,    0.10,   14.00
146237,  248.60,  156.60,  161.00,   13.00,    0.10,   14.00
146238,  248.40,  156.60,  161.00,   12.90,    0.00,   14.00
146239,  244.60,  156.90,  161.00,   12.00,    0.30,   14.00
146240,  229.80,  159.00,  163.00,    4.20,    1.50,   14.00
146241,  216.50,  159.30,  162.00,   -0.80,    0.80,   14.00
146242,  204.90,  160.60,  158.00,   -4.80,    1.30,   14.00
146243,  196.80,  161.80,  159.00,   -8.00,    2.00,   14.00
146244,  192.30,  162.30,  160.00,  -10.00,    2.30,   14.00
146245,  191.10,  162.30,  158.00,  -10.60,    2.40,   14.00
146246,  191.40,  162.20,  157.00,  -10.50,    2.50,   14.00
146247,  191.30,  162.10,  158.00,  -10.80,    2.30,   14.00
146248,  191.50,  162.10,  159.00,  -10.70,    2.40,   14.00
146249,  191.50,  162.10,  158.00,  -10.80,    2.50,   14.00
146250,  191.80,  162.10,  159.00,  -10.80,    2.40,   14.00
146251,  191.70,  162.00,  158.00,  -10.80,    2.30,   14.00
146252,  192.00,  162.00,  159.00,  -10.50,    2.30,   14.00
146253,  192.20,  162.00,  158.00,  -10.30,    2.30,   14.00
146254,  192.30,  162.00,  158.00,  -10.30,    2.30,   14.00
146255,  192.50,  162.00,  159.00,  -10.30,    2.30,   14.00
146256,  192.30,  161.90,  158.00,  -10.80,    2.10,   14.00
146257,  192.60,  162.00,  159.00,  -10.50,    2.10,   14.00
146258,  192.70,  161.90,  157.00,  -10.40,    2.10,   14.00
146259,  192.60,  161.90,  158.00,  -10.50,    2.10,   14.00
146260,  192.60,  161.90,  157.00,  -10.70,    2.10,   14.00
146261,  192.90,  161.90,  159.00,  -10.20,    2.10,   14.00
146262,  192.70,  162.00,  158.00,  -10.50,    2.10,   14.00
146263,  193.00,  161.90,  159.00,  -10.20,    2.10,   14.00
146264,  192.90,  161.80,  158.00,  -10.30,    2.00,   14.00
146265,  193.20,  161.80,  158.00,  -10.10,    2.00,   14.00
146266,  193.00,  161.80,  157.00,  -10.10,    2.00,   14.00
146267,  193.10,  161.80,  159.00,  -10.10,    2.00,   14.00
146268,  193.10,  161.80,  157.00,  -10.30,    2.00,   14.00
146269,  193.10,  161.80,  159.00,  -10.10,    2.00,   14.00
146270,  193.20,  161.90,  160.00,  -10.10,    2.10,   14.00
146271,  193.30,  162.00,  159.00,  -10.00,    2.20,   14.00
146272,  193.20,  161.90,  159.00,  -10.20,    2.10,   14.00
146273,  193.50,  162.00,  159.00,   -9.80,    2.20,   14.00
146274,  193.00,  162.10,  160.00,  -10.40,    2.30,   14.00
146275,  193.50,  162.00,  160.00,  -10.00,    2.20,   14.00
146276,  193.80,  162.00,  160.00,   -9.60,    2.30,   14.00
146277,  193.60,  162.10,  162.00,   -9.80,    2.30,   14.00
146278,  193.80,  162.10,  161.00,   -9.70,    2.30,   14.00
146279,  193.50,  162.30,  161.00,   -9.70,    2.40,   14.00
146280,  193.60,  167.40,  162.00,  -10.00,    3.90,   14.00
146281,  199.60,  174.60,  164.00,   -6.50,    7.30,   14.00
146282,  204.60,  180.20,  164.00,   -4.30,    9.00,   14.00
146283,  207.70,  180.80,  164.00,   -2.80,    9.50,   14.00
146284,  209.00,  182.10,  163.00,   -2.60,   10.30,   14.00
146285,  209.30,  182.50,  163.00,   -2.40,   10.70,   14.00
146286,  209.60,  182.50,  165.00,   -2.30,   11.00,   14.00
146287,  209.80,  182.60,  166.00,   -2.10,   11.10,   14.00
146288,  209.90,  182.70,  164.00,   -2.10,   11.20,   14.00
146289,  210.10,  182.80,  165.00,   -2.30,   11.30,   14.00
146290,  210.00,  183.00,  164.00,   -2.30,   11.50,   14.00
146291,  210.10,  183.00,  165.00,   -2.40,   11.60,   14.00
146292,  210.10,  183.10,  163.00,   -2.30,   11.70,   14.00
146293,  210.30,  183.10,  164.00,   -2.20,   11.80,   14.00
146294,  210.10,  183.10,  163.00,   -2.40,   11.80,   14.00
146295,  210.20,  183.30,  162.00,   -2.30,   12.00,   14.00
146296,  210.40,  183.40,  162.00,   -2.10,   12.10,   14.00
146297,  210.30,  183.50,  161.00,   -2.30,   12.30,   14.00
